19. Decembre 2016 | 05:07:44 | - SpeedhackDetection = 0
19. Decembre 2016 | 05:07:44 | 0 IP-bans have been loaded.
19. Decembre 2016 | 05:07:44 | 0 temporary bans have been loaded.
19. Decembre 2016 | 05:07:44 | 0 whitelist entries have been loaded.
19. Decembre 2016 | 05:07:44 | 0 blacklist entries have been loaded.
19. Decembre 2016 | 05:07:44 | 41 bad words have been loaded.
19. Decembre 2016 | 05:07:44 | 4 forbidden weapons have been loaded.
19. Decembre 2016 | 05:07:44 | JunkBuster has been configurated.
19. Decembre 2016 | 05:07:44 | JunkBuster (v11) has successfully been loaded.
19. Decembre 2016 | 05:08:46 | Suspected player with airbrake: Kaitlyn_Jennings (0, 127.0.0.1), height: 1.57, ~190 m/s, vehicle: Unknown.
19. Decembre 2016 | 05:08:48 | Suspected player with airbrake: Kaitlyn_Jennings (0, 127.0.0.1), height: 1.57, ~192 m/s, vehicle: Unknown.
19. Decembre 2016 | 05:08:48 | Executing JunkBuster Chrome for player 'Kaitlyn_Jennings'.
19. Decembre 2016 | 05:13:26 | Loading JunkBuster...
19. Decembre 2016 | 05:13:26 | Current JunkBuster configuration: 
19. Decembre 2016 | 05:13:26 | - WeaponHack = 1
19. Decembre 2016 | 05:13:26 | - MoneyHack = 1
19. Decembre 2016 | 05:13:26 | - Jetpack = 1
19. Decembre 2016 | 05:13:26 | - HealthHack = 1
19. Decembre 2016 | 05:13:26 | - ArmourHack = 1
19. Decembre 2016 | 05:13:26 | - DriveBy = 0
19. Decembre 2016 | 05:13:26 | - Spam = 0
19. Decembre 2016 | 05:13:26 | - CommandSpam = 0
19. Decembre 2016 | 05:13:26 | - BadWords = 1
19. Decembre 2016 | 05:13:26 | - CarJackHack = 1
19. Decembre 2016 | 05:13:26 | - TeleportHack = 1
19. Decembre 2016 | 05:13:26 | - MaxPing = 600
19. Decembre 2016 | 05:13:26 | - SpectateHack = 1
19. Decembre 2016 | 05:13:26 | - Blacklist = 1
19. Decembre 2016 | 05:13:26 | - IpBans = 1
19. Decembre 2016 | 05:13:26 | - TempBans = 1
19. Decembre 2016 | 05:13:26 | - SpawnKill = 5
19. Decembre 2016 | 05:13:26 | - CapsLock = 1
19. Decembre 2016 | 05:13:26 | - 3DSpeed = 0
19. Decembre 2016 | 05:13:26 | - MaxSpeed = 230
